video_id,video_length,view_count,likes,comments,shares,description,create_time,hashtag_count
6779342637980749062,9000,26700000,4300000,45600,82500,ceo of missing @lilhuddy,1578438716,0
6779318158240140549,8000,47400000,5900000,33900,236800,,1578433016,0
6779307619224997126,9000,16800000,2300000,9926,19900,,1578430562,0
6778863413520076038,15000,21600000,3000000,28600,59900,THANK YOU GUYS SO MUCH FOR 16 MILLION!! THATS ABSOLUTELY INSANE 💚💚💚💚,1578327137,0
6778858749097544966,15000,26600000,3100000,13400,86300,,1578326051,0
6778857730036878597,14000,21200000,3200000,13300,66000,,1578325814,0
6778856362521758981,11000,20300000,2500000,8618,13900,#duet with @maakell i am so beyond proud of this girl!!! she is so beautiful inside and out and she truly deserves the world! 💚💚,1578325495,3
6778380507496353030,11000,26000000,2700000,15200,72100,@gemmah_ dc @arii,1578214705,0
6778301265945382149,15000,24200000,3000000,13300,65000,@gemmah_ @tanamongeaulol,1578196254,0
6778287918369885445,10000,15300000,1700000,7368,9247,you can’t take me anywhere but it’s even worse when it’s both of us,1578193146,0
6778256931577548038,13000,25500000,3900000,31300,69600,,1578185931,0
6778250474190671109,13000,17600000,1900000,7918,35900,@gemmah_,1578184426,0
6778246198995209478,10000,21900000,2600000,11700,40000,reunited with my best friend @gemmah_,1578183431,0
6778229445187652869,15000,18400000,2700000,16200,21600,tik tok is a lot of work!! @urbandecaycosmetics   #allnighterlegend #urbandecay #ad,1578179530,6
6778192078234029318,15000,23900000,3000000,39700,116100,i cant find any sounds,1578170828,0
6777808369962061061,15000,56900000,6300000,138300,289600,,1578081489,0
6777544888754916613,13000,34100000,5000000,49100,62000,i miss my musically partner,1578020142,0
6777535312714403077,15000,20300000,2600000,20200,24100,,1578017912,0
6777533364925680902,15000,15600000,1900000,15100,13900,,1578017459,0
6777512283796000005,10000,26700000,3500000,33000,65500,@edonajakaj1 @jazmine.manning,1578012551,0
6777491604048579845,8000,34900000,4400000,22100,114700,1 plane ride and 1 eight hour nap later ...,1578007735,0
6777209953284377861,13000,27300000,3500000,29700,71600,,1577942161,0
6777200192539069701,47000,30600000,5000000,34100,117500,home time :(,1577939887,0
6777132774810832134,9000,37700000,5000000,79600,71600,,1577924189,0
6777131605094878470,13000,27200000,3600000,18300,103700,@zarbruh @luvanthony,1577923917,0
6777104607186324742,8000,31900000,4900000,15300,23300,#greenscreen,1577917630,2
6777092644406332678,59000,17000000,2300000,10900,14800,,1577914845,0
6777080052115983621,9000,35200000,4800000,44800,116300,you really can’t take me anywhere,1577911918,0
6777079553362808069,8000,22800000,2700000,11700,53000,dunkin’ dounuts,1577911797,0
6777067965503327493,13000,18400000,2300000,24600,84800,happy 2020,1577909099,0
6776852713821981957,11000,47700000,6500000,67900,207900,@lilhuddy,1577858982,0
6776751177360100614,12000,38600000,4500000,33600,184700,,1577835340,0
6776746340966763782,59000,20400000,3000000,19200,40300,@nickaustinn @lilhuddy @petroutv,1577834214,0
6776727609708416261,15000,23600000,3200000,39100,32400,,1577829853,0
6776716637161737478,9000,39800000,5500000,30600,163700,,1577827298,0
6776507169580862725,10000,17700000,2200000,10100,10900,,1577778530,1
6776346701981650181,15000,20700000,2500000,17700,18000,,1577741166,0
6776339621598235910,9000,14700000,1700000,9934,35900,,1577739518,0
6776335306519006469,14000,24400000,3500000,14300,22500,i don’t have black and white photos but i do have these gems,1577738513,0
6776334421910883590,15000,14900000,1900000,13600,14600,,1577738307,0
6776334006821588229,8000,24300000,3000000,12500,96800,,1577738210,0
6776326052147891462,15000,34300000,3800000,26000,139400,@lilhuddy,1577736358,0
6776323371056647429,12000,21600000,3000000,19400,75000,,1577735734,0
6776031169969474822,59000,19900000,3000000,11500,21500,@samhurley @petroutv,1577667702,0
6775714848039783686,10000,25300000,2800000,10800,25600,my family can not take me anywhere,1577594052,0
6775692110117997830,15000,32400000,3500000,13200,55300,a blooper for you all @tonylopez__ @ondreazlopez_,1577588758,0
6775686867082939654,15000,28900000,2900000,13500,78700,@ondreazlopez_ @tonylopez__,1577587538,0
6775621500855782662,12000,45300000,6100000,89600,154700,bestie @lilhuddy,1577572318,0
6775608180228623621,58000,20500000,2900000,11400,29700,,1577569216,0
6775593039185349894,11000,23300000,3200000,15500,47400,i taped my phone to the back to thomas’ car seat @iamkoko.la,1577565690,0
6775585582652378373,11000,15700000,1700000,10000,10900,@iamkoko.la clothes are honestly my new favorite,1577563954,0
6775572393747434758,10000,33000000,4600000,24200,111900,charli we have to go - everyone,1577560884,0
6775371590235475206,15000,35100000,4300000,26600,119900,@jameswrightt @jack.wright @thehypehouse,1577514142,0
6775354480687942918,10000,47400000,4600000,22200,207000,dope - avani @avani @addisonre,1577510149,0
6775220178717379845,9000,41500000,5200000,28300,114600,@lilhuddy,1577478877,0
6774952224117345542,8000,24600000,3100000,19600,45000,,1577416490,0
6774918190930693381,15000,57800000,6300000,39400,277600,@dixiedamelio does good hand animals,1577408566,1
6774908690471357702,12000,42600000,5500000,43300,270600,THANK YOU GUYS SO MUCH FOR 13 MILLION!!! @addisonre,1577406354,0
6774898572346313990,15000,58800000,6500000,27600,179700,i will re do this when my hair is done @dixiedamelio,1577403998,1
6774892124388199685,9000,31900000,3700000,18800,74700,don’t worry my hair is brown again,1577402497,0
6774858939050757382,9000,25400000,3300000,31900,33200,,1577394769,0
6774857796157492485,12000,28300000,3500000,19100,112600,,1577394503,0
6774851317044186373,15000,32500000,3900000,25100,39700,little throwback to dancing with @thereallillyk,1577392995,0
6774837260794809605,22000,29200000,4500000,8516,21900,make sure to watch me in @realjordanmatter new yt video!!!!,1577389722,0
6774480914601856261,9000,26700000,2600000,11600,106500,,1577306754,0
6774478075137625350,8000,19700000,2400000,12700,76500,,1577306093,0
6774477613571312901,15000,26300000,3600000,22900,82100,,1577305985,0
6774290501643291910,59000,20100000,2600000,12000,21300,merry christmas y’all sorry my mic became broken in the last two clips xoxo charles,1577262422,0
6774114233765383430,12000,67600000,8800000,88000,271100,iykyk,1577221379,0
6774112980998098182,13000,25200000,3000000,21300,30900,@petroutv told me no more of these so here,1577221088,0
6774112358894718214,15000,49800000,6000000,21800,103100,,1577220943,0
6774100895706696965,10000,28700000,3300000,16700,116700,,1577218274,0
6774100438774975749,9000,21900000,2300000,9697,58300,,1577218170,0
6773888884968279301,10000,30100000,3900000,27700,85600,,1577168914,0
6773386060069227782,15000,32600000,3900000,27300,166000,,1577051839,0
6773385749971717382,11000,109400000,9600000,85600,571000,sorry i know i do this dance a lot but i love it and @yodelinghaley,1577051766,0
6773385450603302150,9000,25100000,2200000,7692,75200,,1577051697,0
6773179640849714438,10000,21800000,2700000,16900,83000,,1577003779,0
6773062971724795141,58000,21600000,3100000,11300,23100,,1576976615,0
6773027542245887237,15000,22700000,2800000,17900,44300,hi,1576968365,0
6773024241697770757,15000,48900000,6200000,45500,301100,@jameswrightt @jack.wright,1576967596,0
6772994234824789253,59000,21900000,3100000,12300,27500,,1576960609,0
6772977510238964998,13000,21700000,3000000,18100,52500,charli’s thoughts on the g6 filter hmmmmm idk,1576956715,0
6772976287536401670,12000,37300000,5500000,28100,118200,,1576956430,0
6772975520297667845,8000,38400000,4100000,15100,121200,,1576956252,0
6772744673711754501,11000,31600000,4800000,25400,35500,,1576902506,0
6772631422902586630,11000,17500000,2200000,16800,15500,,1576876136,0
6772625157040180486,15000,20900000,2500000,9456,63300,@͏madi,1576874677,0
6772623132193754373,15000,20600000,2300000,12400,103600,,1576874205,0
