Video ID,Date Posted,Face Count,View Count
evBAiaYal1o,2020-11-20,0,35316324
rSi4UIWbtM0,2020-11-20,0,44279954
YkGEbnNj48k,2020-11-20,0,10930514
jzHtHAg2igc,2020-11-20,0,59885599
YSuOwf24psk,2020-11-20,0,44067354
Q6CRKXKpdSM,2020-11-20,0,113308274
HaEYUJ2aRHs,2020-11-20,0,321761323
2bfxLPBakzg,2020-09-18,0,6187642
87nMX5Vbwvs,2020-09-18,0,1009071
8ea4lR3EueA,2020-09-18,0,19226622
SIsm0N18AIc,2020-09-18,0,1411489
gzJBaC9P2Eg,2020-09-18,0,2095342
u9FjPUjqirY,2020-09-18,0,1474922
HBlpq7H7VIw,2020-08-28,0,2238949
bqv8_7Parj4,2020-08-28,0,6902562
fgk2KxK4iAo,2020-08-24,0,17444277
nQEnj84irFc,2020-08-24,0,5877672
0rUO0pxJKdw,2020-08-21,0,5956603
kVk_uatgSY0,2020-07-24,0,1323716
onCtbpYMPpQ,2020-07-14,0,1245253
6V5QUPZLg5Y,2020-07-14,0,2440985
74dalENKT9U,2020-07-14,0,2271275
ErjYs7KrpQA,2020-07-14,0,1931867
dSQZz6EzgxM,2020-07-14,0,3783368
x5Jgo6R2N3s,2020-07-14,0,2795797
1-YzDt2SXTg,2020-07-14,0,3810410
AVnjeh2Vx30,2020-07-14,0,10430270
JdehEA5WYss,2020-07-14,0,3210535
KVAt8jwUobI,2020-07-14,0,57755533
Lc1fggghPnc,2020-07-14,0,24220140
VD2D7HcI4S8,2020-07-14,0,4565414
bev5d3Eaqz4,2020-07-14,0,2693766
wY1ieGMKfQ4,2020-06-19,0,16343343
4jMaqxmUDZM,2020-02-24,0,1798716
BrO9IuIQ5qM,2020-02-24,0,74629
tRyIuirOJGY,2020-02-24,0,58999
2U1rw68v_qI,2020-02-24,0,154874
DkLrrQPuhMY,2020-02-24,0,188551
rDjBR5VGnMM,2020-02-24,0,124774
GTu4QrBWCGA,2020-02-24,0,30376
qIIV4l_iAXs,2020-02-24,0,26818
DngLh5EIYnI,2020-02-24,0,31054
ZsxpHBl6bDs,2020-02-24,0,35461
AK4qD2cFWO4,2020-02-24,0,252342
B17vPlMb860,2020-02-24,0,178110
VNoquH-ExGg,2020-02-24,0,30837
db15jYm2Q68,2020-02-24,0,115705
205_QnuXSGI,2020-02-24,0,660740
j_btFCxB-9c,2020-02-24,0,216741
px2MYlZq1V8,2020-02-24,0,2785659
IzgaX1KNjiI,2020-02-24,0,23415
lWtne_HOn3Q,2020-02-24,0,37062
nO0fS7TUf6w,2020-02-24,0,31806
udFOkQwAxDk,2020-02-24,0,19901
yxJIuiU6KsA,2020-02-24,0,1702750
9Y-mz42B3Fg,2020-02-24,0,60393
XscIfbMC-t8,2020-02-24,0,31093
YEWJN8NyQb4,2020-02-24,0,22823
eLFzBJ9sgvg,2020-02-24,0,34117
gX-M0zpXhrk,2020-02-24,0,2645414
sfNbwv-Oh9U,2020-02-24,0,26594
t9u_9IMuHP0,2020-02-24,0,66887
009M7JoeqTU,2020-02-24,0,94404
BCDvkS7IjUo,2020-02-24,0,26576
rRil9-h4dJQ,2020-02-24,0,1200598
_SZKeq-T-iE,2020-02-24,0,475266
MZaC8Wl2XwQ,2020-02-24,0,29003
DscmSgYlHgQ,2020-02-24,0,1244087
ib2J48sfF48,2020-02-24,0,884307
54CgXnur2xI,2020-02-24,0,58364
pSMf9pLYt-0,2020-02-24,0,57419
tOL0rGnbDiM,2020-02-24,0,1378172
xTLihXFTtxc,2020-02-24,0,63605
1yxEmmYQdl8,2020-02-21,0,63635591
4ZSVbrV4-Xs,2020-02-21,0,71802585
cU-J6m79k0I,2020-02-21,0,11877402
