Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes
Monkeys Spinning Monkeys,SteamFun - Single,Kevin MacLeod,5/16/2011,1018,47.6,11477477,7679,36,11457166,123604
Work Out,Work Out,J. Cole,7/4/2011,2740,26.8,955547971,199078,76,310902280,2357811
Someone Like You,538 Hitzone 58,Adele,7/7/2011,4080,21.1,,39,,2403713406,11349859
Marvins Room,Marvins Room,Drake,7/22/2011,3624,22.5,597923434,102247,68,201599895,1427945
In Da Club,Q-music Top 500 Van Deze Eeuw - 2011,50 Cent,8/26/2011,3981,21.4,10163724,11,,2248807705,13922683
We Are Young (feat. Janelle Monï¿½ï¿½e) - feat. Janelle M,We Are Young (feat. Janelle Monï¿½ï,fun.,9/20/2011,1414,39.3,1143172586,216588,72,213210779,1991783
Young Wild & Free (feat. Bruno Mars),Young Wild & Free (feat. Bruno Mars),Snoop Dogg,10/11/2011,3679,22.4,1431126152,247483,70,850533301,6782649
A Thousand Years,A Thousand Years,Christina Perri,10/18/2011,964,49.2,1654956613,177834,77,2989286684,19870174
Paradise,Mylo Xyloto,Coldplay,10/19/2011,2873,26,1291954163,205567,77,325509002,2163945
Young Wild & Free (feat. Bruno Mars),Young Wild & Free (feat. Bruno Mars),Snoop Dogg,10/21/2011,3344,23.7,1431126152,79665,65,192872269,1066231
Take Care,Take Care (Deluxe),Drake,11/15/2011,3431,23.4,622498643,110679,70,454602464,2153347
The Motto,Take Care (Deluxe),Drake,11/15/2011,3630,22.5,549699659,89323,68,76930754,622540
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,11/20/2011,254,97.1,1993030264,256764,77,5644117304,24960395
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Full Circle: The Live Anthology,Major Lazer,11/20/2011,846,52.8,2080878370,242511,76,308933095,2370617
What Do You Mean?,Full Circle: The Live Anthology,Justin Bieber,11/20/2011,1282,41.6,1599742798,137106,74,2719936771,14654354
Shut Up and Dance,Full Circle: The Live Anthology,WALK THE MOON,11/20/2011,1530,37.6,1690450389,225204,81,679433670,4181978
The Nights,Full Circle: The Live Anthology,Avicii,11/20/2011,1680,35.6,1780761618,306987,79,1147006109,12229051
Outside (feat. Ellie Goulding),Full Circle: The Live Anthology,Calvin Harris,11/20/2011,1708,35.3,1128783268,167396,79,1029118874,6969569
Animals,Full Circle: The Live Anthology,Maroon 5,11/20/2011,1772,34.6,1365755853,183681,74,1285233400,8881918
El Perdï¿½,Full Circle: The Live Anthology,Nicky Jam,11/20/2011,2108,31.4,869024663,91687,69,1937330456,6059523
Stay With Me,Full Circle: The Live Anthology,Sam Smith,11/20/2011,2152,31,2086460781,167759,77,212889507,1603354
I'm an Albatraoz,Full Circle: The Live Anthology,AronChupa,11/20/2011,3011,25.3,568692309,122845,66,1631093608,13001577
Elastic Heart,Full Circle: The Live Anthology,Sia,11/20/2011,3064,25,924784325,92551,70,1537848233,7268122
Thinking out Loud,Full Circle: The Live Anthology,Ed Sheeran,11/20/2011,3253,24.1,2502925593,212574,76,430771444,3399564
La Gozadera,Full Circle: The Live Anthology,Gente De Zona,11/20/2011,3286,24,613120952,70633,69,1740143685,4862755
Everybody Talks,Everybody Talks,Neon Trees,12/19/2011,4359,20.1,836267192,170098,74,128528493,1373771
Bangarang (feat. Sirah),Bangarang EP,Skrillex,12/23/2011,3123,24.7,474420154,97650,64,1122789221,8747570
Paradise - Radio Edit,NRJ Music Awards 2012,Coldplay,12/26/2011,4245,20.5,1287292679,143,,1869323331,9256071
All of Me,Love In The Future (South Africa Tour Edition),John Legend,1/1/2012,487,69.8,2382407025,259202,80,3064193777,17820289
