artist,song,duration_ms,year,popularity,danceability,tempo
D12,My Band,298773,2004,73,0.851,120.014
Jay Sean,Eyes On You - Radio Mix,190493,2004,42,0.802,96.525
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,2016,66,0.833,97.007
Destiny's Child,Lose My Breath,242013,2004,61,0.814,119.011
Eric Prydz,Call on Me - Radio Mix,171360,2004,72,0.597,126.342
Ciara,Goodies (feat. Petey Pablo),223000,2004,67,0.826,102.017
Kelis,Trick Me,206106,2003,63,0.97,107.17
LL Cool J,Headsprung,267320,2004,56,0.718,99.916
Spiderbait,Black Betty - Edit,205973,2004,63,0.562,124.047
George Michael,Amazing,265826,2004,57,0.805,128.429
Britney Spears,My Prerogative,213893,2004,53,0.749,111.014
Nina Sky,Move Ya Body,232000,2004,67,0.87,121.057
Baby Bash,Suga Suga,239026,2003,73,0.662,82.331
Petey Pablo,Freek-A-Leek,235186,2003,56,0.737,104.917
JAY-Z,Dirt Off Your Shoulder,245173,2003,53,0.779,163.971
Juanes,La Camisa Negra,216706,2004,70,0.751,97.007
Avril Lavigne,Nobody's Home,212413,2004,61,0.348,185.406
Robbie Williams,Radio,233600,2004,33,0.607,130.015
Black Eyed Peas,Hey Mama,214893,2003,49,0.86,100.15
Ying Yang Twins,Salt Shaker,252440,2003,61,0.884,101.965
Enrique Iglesias,Not In Love - Radio Mix,223133,2003,37,0.762,117.021
Kelis,Milkshake,182626,2003,68,0.881,112.968
Linkin Park,Breaking the Habit,196906,2003,68,0.579,100.021
JoJo,Leave (Get Out) - Radio Edit,242746,2005,49,0.656,86.891
Christina Milian,Dip It Low,197186,2004,45,0.752,169.131
Avant,Read Your Mind,263506,2003,56,0.755,73.108
Eminem,Just Lose It,248680,2004,67,0.94,121.003
Sugababes,Too Lost In You,237693,2003,58,0.586,98.014
Snoop Dogg,Drop It Like It's Hot,266066,2004,39,0.892,92.063
Sean Paul,I'm Still in Love with You (feat. Sasha),273360,2002,68,0.765,87.002
The Shapeshifters,Lola's Theme - Radio Edit,207066,2004,65,0.748,123.925
D12,How Come,249533,2004,57,0.745,89.983
Basement Jaxx,Good Luck,282306,2003,0,0.571,154.07
Kevin Lyttle,Turn Me On,192106,2004,67,0.677,106.279
Chingy,One Call Away,276800,2003,61,0.765,162.519
T.I.,Bring Em Out,216706,2004,63,0.759,98.579
DJ Casper,Cha Cha Slide - Hardino Mix,222146,2004,51,0.853,131.012
Kylie Minogue,I Believe in You,200973,2004,47,0.548,120.939
Twista,Overnight Celebrity,233360,2004,66,0.828,134.199
N.E.R.D,She Wants To Move,213786,2004,57,0.766,115.012
Britney Spears,Everytime,230306,2003,63,0.398,109.599
U2,Vertigo,193520,2004,64,0.416,140.083
Franz Ferdinand,Take Me Out,237026,2004,77,0.277,104.561
J-Kwon,Tipsy - Club Mix,247106,2001,59,0.925,93.04
G-Unit,Wanna Get To Know You,265026,2003,61,0.513,76.91
Lil' Flip,Sunshine (feat. Lea),225173,2004,42,0.814,93.961
Kanye West,Jesus Walks,193733,2004,73,0.637,87.312
Evanescence,My Immortal,262533,2003,72,0.19,79.012
Nelly,My Place,336506,2004,57,0.6,163.153
Lemar,If There's Any Justice,229080,2004,46,0.706,89.993
No Doubt,It's My Life,226053,2003,60,0.612,126.326
Avril Lavigne,Don't Tell Me,202013,2004,58,0.523,144.106
Twista,Slow Jamz,316053,2004,72,0.559,145.115
Green Day,American Idiot,176346,2004,77,0.38,186.113
Kelis,Millionaire,224933,2003,57,0.68,176.051
Scissor Sisters,Comfortably Numb,266040,2004,43,0.803,116.972
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),284160,2003,55,0.663,127.932
Kanye West,Through The Wire,221226,2004,76,0.571,83.089
Special D.,Come With Me - Radio Edit,185133,2004,61,0.739,139.982
Ludacris,Splash Waterfalls,290760,2003,48,0.734,145.894
Avril Lavigne,My Happy Ending,242413,2004,68,0.414,170.229
Dido,White Flag,240040,2003,44,0.512,169.951
Eamon,Fuck It (I Don't Want You Back),225106,2004,64,0.828,68.507
Beyoncé,Me Myself and I,301133,2003,62,0.75,83.61
3 Doors Down,Here Without You,238733,2002,74,0.557,143.994
Kanye West,All Falls Down,223506,2004,80,0.657,91.03
Twista,Sunshine (feat. Anthony Hamilton),226013,2004,56,0.926,98.523
Katie Melua,The Closest Thing to Crazy,252466,2003,55,0.562,127.831
Usher,My Boo,223440,2004,76,0.662,86.412
Lloyd,Southside,277840,2004,59,0.688,75.007
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,2004,59,0.668,128.658
The Streets,Fit but You Know It,254266,2004,58,0.68,172.302
JUVENILE,Slow Motion,248200,2003,64,0.713,172.872
Outkast,The Way You Move (feat. Sleepy Brown),234000,2003,66,0.871,125.999
Girls Aloud,Love Machine,205360,2004,59,0.663,116.02
Jessica Simpson,With You,191826,2003,57,0.553,94.487
Eminem,Like Toy Soldiers,296880,2004,48,0.52,79.178
Gary Jules,Mad World (Feat. Michael Andrews),189506,2001,65,0.345,174.117
Ashlee Simpson,Pieces Of Me,217440,2004,56,0.505,174.001
Will Young,Leave Right Now,214733,2003,55,0.641,81.931
Alicia Keys,You Don't Know My Name,366733,2003,61,0.264,167.078
Mariah Carey,We Belong Together,201400,2005,69,0.84,139.987
Mario,Let Me Love You,256733,2004,72,0.656,94.514
Kanye West,Gold Digger,207626,2005,78,0.629,93.034
Rihanna,Pon de Replay,246960,2005,77,0.779,99.019
50 Cent,Candy Shop,209106,2005,79,0.614,125.173
James Blunt,You're Beautiful,209493,2005,75,0.675,81.998
Green Day,Boulevard of Broken Dreams,261266,2004,72,0.49,167.046
The Pussycat Dolls,Don't Cha,272080,2005,72,0.875,120.003
Daniel Powter,Bad Day,233640,2005,74,0.599,140.046
Akon,Bananza (Belly Dancer),238493,2004,28,0.878,104.838
Madonna,Hung Up,337733,2005,74,0.649,125.02
50 Cent,Just A Lil Bit,237706,2005,76,0.489,96.946
Crazy Frog,Axel F,168879,2005,67,0.86,138.045
Eminem,Ass Like That,265480,2004,52,0.646,83.093
Sean Paul,We Be Burnin',213066,2005,59,0.95,117
Gwen Stefani,Rich Girl,236213,2004,68,0.856,98.018
The Chemical Brothers,Galvanize,393813,2005,63,0.745,104.003
Fort Minor,Remember the Name (feat. Styles of Beyond),230493,2005,73,0.688,84.858
50 Cent,Disco Inferno,214226,2005,72,0.925,97.018
The Game,How We Do,235533,2005,74,0.862,98.012
Chris Brown,Run It! (feat. Juelz Santana),229866,2005,71,0.846,100.969
Mariah Carey,It's Like That,203360,2005,0,0.8,95.953
Black Eyed Peas,My Humps,326960,2005,67,0.802,123.95
Ciara,Oh (feat. Ludacris),256346,2004,61,0.8,128.29
50 Cent,Outta Control - Remix,247506,2005,60,0.772,92.029
Baby Bash,Baby I'm Back,219920,2005,4,0.899,100.01
Jennifer Lopez,Get Right,225533,2005,65,0.741,97.084
JAY-Z,Numb / Encore,205733,2004,76,0.687,107.045
The Game,Hate It Or Love It,206400,2005,77,0.802,99.998
Gorillaz,Feel Good Inc.,222640,2005,82,0.818,138.559
Black Eyed Peas,Don't Phunk With My Heart,239773,2005,62,0.69,130.889
Akon,Lonely,235800,2004,21,0.629,90.098
Bodyrockers,I Like The Way - Radio Edit,200053,2005,54,0.642,127.988
Sugababes,Push The Button,218093,2005,64,0.962,126.016
Jeezy,Soul Survivor,280013,2005,55,0.684,84.03
Eminem,Mockingbird,250760,2004,77,0.637,84.039
Shakira,La Tortura (feat. Alejandro Sanz),212893,2005,72,0.74,100.011
Gorillaz,DARE,244999,2005,73,0.76,120.264
Snoop Dogg,Signs,236813,2004,54,0.94,112.955
Robbie Williams,Tripping,276603,2005,58,0.666,118.014
David Banner,Play,230133,2005,52,0.837,95.027
Trillville,Some Cut,283454,2004,50,0.9,84.995
D4L,Laffy Taffy,224253,2005,63,0.891,77.499
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,2005,67,0.904,125.461
Rob Thomas,Lonely No More,226640,2005,56,0.551,171.79
Brian McFadden,Almost Here,229826,2004,42,0.561,77.984
Bobby V.,"Slow Down - 12"" Version",258666,2005,65,0.568,186.048
Backstreet Boys,Incomplete,239586,2005,63,0.437,133.631
Pretty Ricky,Grind With Me,237733,2005,63,0.7,136.518
Kanye West,Diamonds From Sierra Leone - Remix,233400,2005,61,0.672,97.043
Snoop Dogg,Drop It Like It's Hot,266066,2004,39,0.892,92.063
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,2005,41,0.905,100.813
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,2004,63,0.878,77.49
Ciara,1 2 Step (feat. Missy Elliott) - Main,202213,2005,52,0.939,113.053
Amerie,1 Thing,238746,2008,52,0.636,125.085
Ludacris,Get Back,270746,2004,59,0.555,171.609
Franz Ferdinand,Do You Want To,215000,2005,61,0.412,123.091
Natalie Imbruglia,Shiver,222653,2005,52,0.489,94.163
Gwen Stefani,Hollaback Girl,199853,2004,69,0.926,110.007
Pretty Ricky,Your Body,240040,2005,59,0.838,90.038
Thirty Seconds To Mars,The Kill,231533,2005,74,0.179,182.99
Alicia Keys,Karma,256000,2003,50,0.727,85.098
2Pac,Ghetto Gospel,238053,2004,68,0.794,80.569
Craig David,Don't Love You No More (I'm Sorry),243986,2005,56,0.636,100.113
Katie Melua,Nine Million Bicycles,197160,2005,60,0.534,82.168
Lil Jon & The East Side Boyz,Lovers And Friends,260600,2004,66,0.675,139.861
Mariah Carey,Don't Forget About Us - Radio Edit,233866,2005,0,0.7,143.555
Ying Yang Twins,Wait (The Whisper Song),179160,2005,57,0.933,102.017
Will Smith,Switch,197666,2020,34,0.873,102.516
Bow Wow,Like You (feat. Ciara),205840,2005,66,0.714,82.017
Kaiser Chiefs,Everyday I Love You Less And Less,217706,2005,58,0.49,160.028
Kelly Clarkson,Behind These Hazel Eyes,198973,2004,59,0.548,90.048
Black Eyed Peas,Don't Lie,219000,2005,61,0.662,89.885
Westlife,You Raise Me Up,241066,2005,1,0.129,75.048
Ray J,One Wish,337640,2005,62,0.525,127.673
Papa Roach,Scars,208199,2004,60,0.455,89.782
Arctic Monkeys,I Bet You Look Good On The Dancefloor,173680,2006,71,0.535,103.183
Shayne Ward,That's My Goal,219600,2006,1,0.286,68.637
Bow Wow,Let Me Hold You (feat. Omarion),248493,2005,62,0.815,151.518
Kaiser Chiefs,I Predict A Riot,233186,2005,63,0.395,158.842
Usher,Caught Up,224640,2004,61,0.817,110.086
Kelly Clarkson,Because of You,219493,2004,71,0.587,139.92
3 Doors Down,Let Me Go,243053,2012,52,0.478,92.004
Nickelback,Photograph,258920,2005,67,0.515,145.916
T-Pain,I'm Sprung,231040,2005,0,0.722,99.991
Destiny's Child,Cater 2 U,245400,2004,58,0.605,125.802
The Pussycat Dolls,Stickwitu,207506,2005,67,0.548,79.918
Ryan Cabrera,TRUE,204173,2004,62,0.598,96.938
Stereophonics,Dakota,297426,2005,69,0.506,146.994
Eminem,Like Toy Soldiers,296880,2004,67,0.52,79.178
Nelly,Over And Over,253933,2004,61,0.644,169.799
Coldplay,Speed of Sound,287906,2005,69,0.514,123.067
KT Tunstall,Suddenly I See,201706,2005,71,0.587,100.38
Destiny's Child,Girl,224146,2004,55,0.567,89.036
Kelly Clarkson,Since U Been Gone,188960,2004,71,0.662,130.999
U2,Sometimes You Can't Make It On Your Own,305080,2004,56,0.53,96
The All-American Rejects,Dirty Little Secret,193653,2005,65,0.469,143.853
Toby Keith,As Good As I Once Was,227840,2005,67,0.68,119.075
Gwen Stefani,Cool,189333,2004,59,0.709,112.019
Foo Fighters,Best of You,255626,2005,76,0.366,130.198
Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,2005,82,0.778,100.024
Sean Paul,Temperature,218573,2005,78,0.951,125.04
Justin Timberlake,SexyBack (feat. Timbaland),242733,2006,78,0.967,117
Beyoncé,Irreplaceable,227853,2007,70,0.447,175.868
Amy Winehouse,Rehab,214946,2006,71,0.407,71.815
Rihanna,SOS,238920,2006,73,0.677,137.046
Gnarls Barkley,Crazy,177466,2006,74,0.855,111.97
Busta Rhymes,Touch It,214960,2006,61,0.658,138.335
Nelly Furtado,Maneater,258893,2006,79,0.796,132.722
Bob Sinclar,Rock This Party - Everybody Dance Now,245466,2006,69,0.893,128.009
Diddy,Come to Me (feat. Nicole Scherzinger),276786,2006,55,0.819,96.998
Madonna,Sorry,281880,2005,61,0.589,132.971
Chamillionaire,Ridin',303053,2005,71,0.787,143.052
Black Eyed Peas,Pump It,213066,2005,75,0.648,153.649
Nelly Furtado,Promiscuous,242293,2006,82,0.808,114.328
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,150533,2015,39,0.814,127.919
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,243880,2006,58,0.711,95.824
The Pussycat Dolls,Buttons,225560,2005,68,0.565,210.851
Ciara,Get Up (feat. Chamillionaire),261880,2006,59,0.964,128.593
Eminem,Shake That,274440,2005,74,0.963,107.005
Cherish,Do It To It,226293,2006,65,0.826,74.007
Muse,Supermassive Black Hole,212439,2006,75,0.668,120
Chris Brown,Gimme That,186826,2005,63,0.678,87.165
Infernal,From Paris to Berlin,209666,2004,57,0.741,126.069
Cassie,Me & U,192213,2006,73,0.803,99.99
E-40,U and Dat (feat. T. Pain & Kandi Girl),202720,2006,63,0.858,99.992
The Pussycat Dolls,Beep,229360,2005,57,0.938,103.7
Lil Jon,Snap Yo Fingers,274386,2006,67,0.835,82.038
Armand Van Helden,My My My - Radio Edit,190000,2006,40,0.678,127.51
The Notorious B.I.G.,Nasty Girl (feat. Diddy Nelly Jagged Edge & Avery Storm) - 2005 Remaster,286186,2005,68,0.833,106.328
Yung Joc,It's Goin' Down (feat. Nitti),241840,2006,66,0.888,84.003
Shayne Ward,No Promises,223066,2006,1,0.5,79.798
Justin Timberlake,My Love (feat. T.I.),276160,2006,72,0.771,119.952
Nickelback,Savin' Me,219320,2005,65,0.441,164.007
Nelly,Grillz,271160,2005,60,0.867,82.996
Take That,Patience,202066,2006,64,0.309,175.788
Fergie,London Bridge,241306,2006,57,0.769,90.951
Cascada,Everytime We Touch - Radio Edit,199120,2011,0,0.64,142.019
D4L,Laffy Taffy,224253,2005,63,0.891,77.499
LL Cool J,Control Myself,233973,2006,42,0.825,120.066
Beyoncé,Deja Vu (feat. Jay-Z),240280,2007,57,0.644,105.253
P!nk,Stupid Girls,197173,2006,0,0.683,100.04
Eminem,When I'm Gone,281320,2005,68,0.618,75.272
Kelis,Bossy,273973,2006,50,0.906,84.021
Bob Sinclar,Love Generation - Radio Edit,207613,2005,49,0.715,128.04
Meck,Thunder in My Heart Again (Radio Edit),189800,2005,46,0.679,129.016
Mary J. Blige,Be Without You - Kendu Mix,246333,2005,69,0.726,146.559
Girls Aloud,Something Kinda Ooooh,201590,2012,49,0.681,131.925
Rihanna,Unfaithful,226973,2006,70,0.588,144.069
Kanye West,Touch The Sky,236600,2005,73,0.552,98.56
Dem Franchize Boyz,Lean Wit It Rock Wit It,229813,2006,60,0.886,76.035
Evanescence,Call Me When You're Sober,214706,2006,65,0.45,93.41
Chingy,Pullin' Me Back,234133,2006,62,0.786,80
Nickelback,Far Away,238173,2005,70,0.518,132.918
Fall Out Boy,Dance Dance,180266,2005,74,0.622,114.452
Leona Lewis,A Moment Like This,257293,2007,57,0.261,70.543
T.I.,What You Know,274333,2006,64,0.551,73.464
Ludacris,Money Maker,230613,2006,62,0.551,78.756
Nick Lachey,What's Left Of Me,244613,2006,37,0.42,149.965
Jibbs,Chain Hang Low,207586,2006,56,0.792,157.147
Arctic Monkeys,When The Sun Goes Down,202133,2006,72,0.348,169.152
Rascal Flatts,Life is a Highway,276773,2006,0,0.561,103.055
Beyoncé,Check On It (feat. Slim Thug),211186,2006,45,0.7,166.104
Keyshia Cole,Love,255333,2005,72,0.688,116.714
Lily Allen,Smile,196893,2006,68,0.632,95.506
Ne-Yo,Sexy Love,220853,2006,67,0.693,94.02
JoJo,Too Little Too Late,223680,2006,48,0.535,83.001
Mary J. Blige,One,260466,2005,64,0.344,185.888
Bubba Sparxxx,Ms. New Booty,252653,2005,62,0.64,129.37
Amy Winehouse,You Know I'm No Good,256946,2006,63,0.705,103.383
Rascal Flatts,What Hurts The Most,214106,2006,69,0.537,136.002
Red Hot Chili Peppers,Dani California,282160,2006,76,0.556,96.184
Scissor Sisters,I Don't Feel Like Dancin',288360,2006,63,0.707,108.023
Ne-Yo,So Sick,207186,2006,75,0.452,92.791
Hinder,Lips Of An Angel,261053,2019,35,0.474,129.005
The Raconteurs,Steady As She Goes,215266,2006,56,0.525,123.696
The Fratellis,Chelsea Dagger,215306,2006,68,0.511,154.514
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),231866,2005,42,0.684,179.999
The Pussycat Dolls,Stickwitu,207506,2005,67,0.548,79.918
Panic! At The Disco,I Write Sins Not Tragedies,185586,2005,70,0.566,169.961
James Blunt,Goodbye My Lover,258653,2005,67,0.432,89.567
Christina Aguilera,Ain't No Other Man,228906,2006,63,0.862,127.91
Westlife,The Rose,219106,2006,0,0.272,109.581
Keane,Is It Any Wonder?,186173,2006,59,0.489,129.352
Orson,No Tomorrow,167493,2006,46,0.656,124.082
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),265333,2005,0,0.731,145.171
KT Tunstall,Black Horse And The Cherry Tree,172373,2005,64,0.748,104.833
Natasha Bedingfield,Unwritten,259333,2004,2,0.706,100.011
Razorlight,America,249760,2006,67,0.447,90.933
James Morrison,You Give Me Something,213173,2006,64,0.559,79.753
Snow Patrol,You're All I Have,273333,2006,35,0.467,132.013
The Fray,How to Save a Life,262533,2005,79,0.64,122.035
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),151640,2006,61,0.7,108.102
My Chemical Romance,Welcome to the Black Parade,311106,2006,76,0.217,96.95
Razorlight,In The Morning,222453,2006,59,0.616,124.191
The All-American Rejects,Dirty Little Secret,193653,2005,65,0.469,143.853
James Morrison,Wonderful World,210066,2006,49,0.474,78.969
Chris Brown,Yo (Excuse Me Miss),229040,2005,69,0.536,86.768
P!nk,Who Knew,208493,2006,0,0.688,140.004
The Kooks,Naive,203506,2006,73,0.391,100.304
Leona Lewis,Bleeding Love,262466,2007,75,0.638,104.036
Rihanna,Umbrella,275986,2008,81,0.583,174.028
Britney Spears,Gimme More,251240,2007,79,0.788,113.324
Fergie,Big Girls Don't Cry (Personal),268120,2006,76,0.708,113.082
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,219413,2007,0,0.698,105.828
Plain White T's,Hey There Delilah,232533,2005,78,0.656,103.971
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),448573,2006,70,0.687,76
Gwen Stefani,The Sweet Escape,246466,2006,71,0.756,119.961
Timbaland,The Way I Are,179120,2007,80,0.731,114.759
Nelly Furtado,Say It Right,223080,2006,81,0.872,116.948
Ida Corr,Let Me Think About It,151973,2012,43,0.762,129.026
Alex Gaudino,Destination Calabria - Radio Edit,223111,2007,73,0.627,128.016
September,Cry for You,209800,2007,65,0.767,130.018
Akon,Smack That,212360,2006,58,0.94,118.988
Timbaland,Give It To Me,234026,2007,70,0.975,110.621
50 Cent,Ayo Technology,247946,2007,67,0.63,140.144
Eric Prydz,Proper Education - Radio Edit,198567,2007,0,0.537,124.938
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,150533,2015,0,0.827,127.995
Ciara,Like a Boy,237053,2006,68,0.701,132.035
Kanye West,Stronger,311866,2007,54,0.617,103.992
Beyoncé,Beautiful Liar,199853,2007,64,0.764,91.977
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,237173,2007,59,0.584,79.702
Akon,I Wanna Love You,247066,2006,53,0.865,99.989
Soulja Boy,Crank That (Soulja Boy),221933,2007,74,0.736,140.141
Fat Joe,Make It Rain,247413,2006,59,0.744,149.28
P!nk,U + Ur Hand,214386,2006,0,0.709,141.04
Rihanna,Shut Up And Drive,212280,2008,69,0.735,132.964
Lloyd,Get It Shawty,209533,2007,62,0.822,128.014
Kanye West,Can't Tell Me Nothing,271600,2007,47,0.596,80.029
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,152333,2006,17,0.847,127.894
Linkin Park,What I've Done,205613,2007,77,0.623,120.119
Keyshia Cole,Last Night,255706,2007,60,0.918,121.006
Chris Brown,Kiss Kiss (feat. T-Pain),250666,2007,68,0.729,140.043
Shop Boyz,Party Like A Rock Star,253400,2007,61,0.619,144.972
Finger Eleven,Paralyzer,208106,2007,73,0.644,106.031
Justin Timberlake,Summer Love,252973,2006,66,0.606,95.802
MiMS,This Is Why I'm Hot,253706,2007,59,0.621,80.021
Fabolous,Make Me Better,253573,2007,62,0.607,86.491
Seether,Fake It,193893,2007,73,0.611,132.078
Take That,Patience,202066,2006,64,0.309,175.788
Arctic Monkeys,Brianstorm,172866,2007,67,0.42,165.182
Justin Timberlake,My Love (feat. T.I.),276160,2006,72,0.771,119.952
Fergie,Glamorous,246600,2006,64,0.811,130.993
Linkin Park,Bleed It Out,166373,2007,73,0.529,140.127
My Chemical Romance,Teenagers,161920,2006,80,0.463,111.647
Calvin Harris,Acceptable in the 80's,333680,2007,57,0.787,127.99
Sugababes,About You Now,212400,2007,66,0.584,82.499
Avril Lavigne,Girlfriend,216600,2007,75,0.56,163.983
Ne-Yo,Because Of You,266840,2007,74,0.81,109.97
Daughtry,It's Not Over,215173,2016,45,0.45,145.959
Unk,Walk It Out,173040,2013,48,0.794,160.022
Lloyd,You,273133,2007,70,0.412,130.159
Klaxons,Golden Skans,165120,2007,65,0.463,141.955
T-Pain,Bartender (feat. Akon),238800,2007,3,0.675,104.987
Baby Boy Da Prince,The Way I Live - Main Explicit,324906,2006,59,0.88,90.02
Fergie,Fergalicious,292373,2006,63,0.906,129.055
Omarion,Ice Box,256426,2006,57,0.775,131.105
Pretty Ricky,On the Hotline - Amended Version,242586,2007,57,0.704,92.988
Nickelback,Rockstar,252040,2005,69,0.616,144.072
Fall Out Boy,Thnks fr th Mmrs,203506,2007,76,0.459,154.837
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),444333,2006,57,0.859,121.243
All Time Low,Dear Maria Count Me In,182826,2007,76,0.459,181.04
Amy Winehouse,Back To Black,241293,2006,76,0.403,122.728
Keyshia Cole,Let It Go,238360,2007,58,0.808,94.955
Ciara,Promise,267413,2006,56,0.697,123.279
Enrique Iglesias,Do You Know? (The Ping Pong Song),219533,2007,45,0.753,114.999
T2,Heartbroken - Edit,178613,2017,59,0.716,139.986
Robyn,With Every Heartbeat,254920,2005,36,0.477,120.872
Maroon 5,Makes Me Wonder,211080,2007,62,0.803,113.996
Fall Out Boy,This Ain't A Scene It's An Arms Race,212040,2007,68,0.435,199.935
Paramore,Misery Business,211520,2007,72,0.517,172.977
Hinder,Better Than Me,223533,2019,30,0.451,139.913
Huey,Pop Lock & Drop It - Video Edit,261026,2006,52,0.723,144.09
Foo Fighters,The Pretender,269373,2007,78,0.433,172.984
Plies,Shawty (feat. T Pain),255413,2007,61,0.444,105.412
Kaiser Chiefs,Ruby,204200,2007,67,0.451,93.416
Mark Ronson,Stop Me (feat. Daniel Merriweather),232946,2007,46,0.626,118.035
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),238266,2006,57,0.772,83.998
Jim Jones,We Fly High,236080,2006,0,0.685,120.226
The Red Jumpsuit Apparatus,Face Down,192000,2006,74,0.545,92.956
MIKA,Grace Kelly,187733,2006,69,0.675,122.229
Christina Aguilera,Candyman,194213,2006,66,0.686,172.976
Sean Kingston,Beautiful Girls,225373,2007,78,0.762,130.009
Akon,Don't Matter,293066,2006,52,0.801,125.139
James Blunt,1973,280026,2007,68,0.72,123.007
Carrie Underwood,Before He Cheats,199946,2005,76,0.519,147.905
Just Jack,Starz In Their Eyes,295933,2006,52,0.67,123.802
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),227960,2007,2,0.451,80.001
Bone Thugs-N-Harmony,I Tried,287480,2007,61,0.727,81.995
Avril Lavigne,When You're Gone,240493,2007,68,0.457,142.034
Rich Boy,Throw Some D's,263920,2007,57,0.697,160.895
MIKA,Love Today,235173,2006,57,0.673,124.484
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),235693,2007,53,0.344,126.766
Elliott Yamin,Wait for You,261320,2007,58,0.764,116.027
Wyclef Jean,Sweetest Girl (Dollar Bill) (feat. Akon Lil' Wayne & Niia),241133,2007,56,0.733,92.515
Boys Like Girls,The Great Escape,206520,2007,62,0.423,149.934
Take That,Rule The World - Radio Edit,237760,2007,58,0.357,164.054
J. Holiday,Bed,275106,2007,64,0.684,127.901
Red Hot Chili Peppers,Snow (Hey Oh),334666,2006,79,0.427,104.655
Ludacris,Runaway Love,280680,2006,51,0.405,92.854
Flo Rida,Low (feat. T-Pain),231400,2008,80,0.918,128.008
Katy Perry,I Kissed A Girl,179640,2008,73,0.699,129.996
Rihanna,Take A Bow,229413,2008,74,0.697,82.082
Alicia Keys,No One,253813,2007,77,0.644,90.04
Timbaland,Apologize,184400,2007,74,0.653,118.016
Ne-Yo,Miss Independent,232000,2008,71,0.668,171.812
Chris Brown,With You,252120,2007,70,0.662,86.009
Beyoncé,If I Were a Boy,249146,2008,66,0.632,90.007
Kardinal Offishall,Dangerous,246053,2008,75,0.949,117.002
Madcon,Beggin (original version),216146,2007,70,0.715,129.023
September,Cry for You,209800,2007,65,0.767,130.018
Rihanna,Disturbia,238626,2008,76,0.707,124.921
Guru Josh Project,Infinity 2008,190013,2011,1,0.493,127.999
Britney Spears,Break the Ice,196053,2007,61,0.712,117.533
Lil Wayne,Lollipop,299333,2008,69,0.829,148.075
Basshunter,Now You're Gone - Video Edit,148186,2008,63,0.639,147.99
Kanye West,Flashing Lights,237506,2007,52,0.639,90.482
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),189693,2009,71,0.753,113.029
Katy Perry,Hot N Cold,220226,2008,73,0.706,132.032
Rihanna,Don't Stop The Music,267080,2008,77,0.835,122.668
Snoop Dogg,Sensual Seduction,245520,2007,56,0.756,120.163
Akon,Right Now (Na Na Na),240746,2008,69,0.83,137.982
Britney Spears,Womanizer,224400,2008,76,0.724,139
Eric Prydz,Pjanoo - Radio Edit,157432,2008,65,0.605,125.99
Kelly Rowland,Work,207920,2010,34,0.888,102.757
Jeezy,Put On,321293,2008,69,0.654,137.616
Madonna,Give It 2 Me,287906,2008,57,0.837,127.019
The Pussycat Dolls,When I Grow Up,245680,2008,72,0.671,118.449
will.i.am,Heartbreaker,327880,2007,46,0.788,120.051
Soulja Boy,Crank That (Soulja Boy),221933,2007,74,0.736,140.141
Britney Spears,Piece of Me,212106,2007,64,0.769,115.007
T.I.,Live Your Life,338853,2008,75,0.375,159.841
Ne-Yo,Closer,234360,2008,65,0.709,126.027
Lil Wayne,A Milli,221840,2008,69,0.674,151.486
Colby O'Donis,What You Got,243013,2008,61,0.775,119.974
Miley Cyrus,See You Again,190453,2007,0,0.692,138.975
Basshunter,All I Ever Wanted - Radio Edit,176453,2008,65,0.645,144.954
Chris Brown,Kiss Kiss (feat. T-Pain),250666,2007,68,0.729,140.043
Finger Eleven,Paralyzer,208106,2007,73,0.644,106.031
Alesha Dixon,The Boy Does Nothing,210680,2008,51,0.632,87
Dizzee Rascal,Dance Wiv Me - Radio Edit,204093,2011,68,0.878,111.996
Gabriella Cilmi,Sweet About Me,202133,2008,56,0.671,131.977
Jack White,Another Way to Die,262240,2007,56,0.486,141.933
Plies,Hypnotized (feat. Akon),188493,2007,66,0.84,116.59
