,name,album,track_number,acousticness,danceability,energy,loudness,tempo,valence,popularity,duration_ms
464,Stay Stay Stay,Red,9,0.307,0.729,0.748,-6.67,99.981,0.928,39,204826
465,The Last Time,Red,10,0.035,0.505,0.443,-7.039,94.069,0.123,38,298293
466,Holy Ground,Red,11,0.0162,0.627,0.816,-6.698,157.043,0.648,37,201853
467,Sad Beautiful Tragic,Red,12,0.632,0.624,0.34,-12.411,129.987,0.261,35,283680
468,The Lucky One,Red,13,0.0371,0.706,0.499,-7.675,117.937,0.545,36,240133
469,Everything Has Changed,Red,14,0.36,0.624,0.458,-6.755,80.017,0.436,50,243933
470,Starlight,Red,15,0.0213,0.649,0.777,-5.804,126.018,0.587,37,217826
471,Begin Again,Red,16,0.199,0.53,0.526,-8.349,79.025,0.323,56,237613
472,Sparks Fly - Live/2011,Speak Now World Tour Live,1,0.00917,0.455,0.783,-5.184,114.981,0.298,42,336826
473,Mine - Live/2011,Speak Now World Tour Live,2,0.00233,0.496,0.852,-4.775,120.969,0.442,40,259279
474,The Story Of Us - Live,Speak Now World Tour Live,3,0.00048,0.419,0.908,-5.156,139.813,0.472,40,290520
475,Mean - Live/2011,Speak Now World Tour Live,4,0.154,0.429,0.915,-4.373,163.752,0.432,40,246373
476,Ours - Live/2011,Speak Now World Tour Live,5,0.715,0.421,0.355,-10.21,77.769,0.267,39,245973
477,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,Speak Now World Tour Live,6,0.155,0.374,0.516,-8.745,142.057,0.171,47,362826
478,Better Than Revenge - Live/2011,Speak Now World Tour Live,7,0.00306,0.445,0.887,-5.629,145.954,0.386,41,344573
479,Speak Now - Live/2011,Speak Now World Tour Live,8,0.0636,0.615,0.694,-5.251,118.876,0.373,40,248146
480,Last Kiss - Live/2011,Speak Now World Tour Live,9,0.205,0.427,0.395,-12.551,79.517,0.188,40,369066
481,Drops Of Jupiter - Live/2011,Speak Now World Tour Live,10,0.806,0.374,0.504,-8.407,109.025,0.27,46,315173
482,Bette Davis Eyes - Live/2011,Speak Now World Tour Live,11,0.713,0.327,0.488,-9.287,104.46,0.363,42,189146
483,I Want You Back - Live/2011,Speak Now World Tour Live,12,0.794,0.536,0.512,-6.794,97.397,0.249,40,83253
484,Dear John - Live/2011,Speak Now World Tour Live,13,0.0157,0.521,0.386,-8.784,119.518,0.138,40,404680
485,Enchanted - Live/2011,Speak Now World Tour Live,14,0.0747,0.34,0.663,-5.597,163.678,0.214,42,389213
486,Haunted - Live/2011,Speak Now World Tour Live,15,0.0245,0.338,0.818,-7.495,162.157,0.177,41,292426
487,Long Live - Live/2011,Speak Now World Tour Live,16,0.0053,0.544,0.728,-5.838,101.939,0.204,41,376466
488,Mine - POP Mix,Speak Now,1,0.00461,0.696,0.768,-3.863,121.05,0.692,42,230546
489,Sparks Fly,Speak Now,2,0.0387,0.608,0.785,-2.976,114.985,0.376,53,260946
490,Back To December,Speak Now,3,0.0202,0.517,0.606,-5.797,141.929,0.296,62,293040
491,Speak Now,Speak Now,4,0.101,0.708,0.601,-3.75,118.962,0.742,50,240773
492,Dear John,Speak Now,5,0.183,0.583,0.468,-5.378,119.375,0.126,46,403933
493,Mean,Speak Now,6,0.445,0.57,0.747,-3.978,164.004,0.808,51,237746
494,The Story Of Us,Speak Now,7,0.000315,0.575,0.855,-4.827,139.92,0.84,48,265680
495,Never Grow Up,Speak Now,8,0.829,0.715,0.308,-8.829,124.899,0.547,48,290480
496,Enchanted,Speak Now,9,0.0716,0.535,0.618,-3.913,81.975,0.228,71,352200
497,Better Than Revenge,Speak Now,10,0.0167,0.519,0.917,-3.185,145.882,0.652,54,217173
498,Innocent,Speak Now,11,0.202,0.553,0.604,-5.295,133.989,0.186,38,302266
499,Haunted,Speak Now,12,0.0769,0.434,0.944,-2.641,162.02,0.361,47,242093
500,Last Kiss,Speak Now,13,0.581,0.359,0.329,-9.531,84.358,0.208,49,367146
501,Long Live,Speak Now,14,0.0426,0.412,0.682,-4.319,203.959,0.146,51,317960
502,Mine - POP Mix,Speak Now (Deluxe Package),1,0.00461,0.696,0.768,-3.863,121.05,0.692,42,230546
503,Sparks Fly,Speak Now (Deluxe Package),2,0.0387,0.608,0.785,-2.976,114.985,0.376,52,260946
504,Back To December,Speak Now (Deluxe Package),3,0.0202,0.517,0.606,-5.797,141.929,0.296,63,293040
505,Speak Now,Speak Now (Deluxe Package),4,0.101,0.708,0.601,-3.75,118.962,0.742,51,240773
506,Dear John,Speak Now (Deluxe Package),5,0.183,0.583,0.468,-5.378,119.375,0.126,46,403887
507,Mean,Speak Now (Deluxe Package),6,0.445,0.57,0.747,-3.978,164.004,0.808,55,237746
508,The Story Of Us,Speak Now (Deluxe Package),7,0.000315,0.575,0.855,-4.827,139.92,0.84,40,265636
509,Never Grow Up,Speak Now (Deluxe Package),8,0.829,0.715,0.308,-8.829,124.899,0.547,44,290480
510,Enchanted,Speak Now (Deluxe Package),9,0.0716,0.535,0.618,-3.913,81.975,0.228,71,352200
511,Better Than Revenge,Speak Now (Deluxe Package),10,0.0167,0.519,0.917,-3.185,145.882,0.652,54,217173
512,Innocent,Speak Now (Deluxe Package),11,0.202,0.553,0.604,-5.295,133.989,0.186,40,302266
513,Haunted,Speak Now (Deluxe Package),12,0.0769,0.434,0.944,-2.641,162.02,0.361,48,242093
514,Last Kiss,Speak Now (Deluxe Package),13,0.581,0.359,0.329,-9.531,84.358,0.208,46,367146
515,Long Live,Speak Now (Deluxe Package),14,0.0426,0.412,0.682,-4.319,203.959,0.146,46,317960
516,Ours,Speak Now (Deluxe Package),15,0.505,0.61,0.556,-7.369,159.838,0.192,46,238173
517,If This Was A Movie,Speak Now (Deluxe Package),16,0.154,0.515,0.724,-3.498,147.788,0.257,45,234546
518,Superman,Speak Now (Deluxe Package),17,0.0187,0.582,0.817,-3.718,131.983,0.547,39,276266
519,Back To December - Acoustic,Speak Now (Deluxe Package),18,0.731,0.541,0.451,-6.522,141.713,0.333,49,292533
520,Haunted - Acoustic Version,Speak Now (Deluxe Package),19,0.841,0.574,0.462,-5.124,80.858,0.314,44,217626
521,Mine,Speak Now (Deluxe Package),20,0.00327,0.621,0.78,-2.934,121.038,0.672,57,230773
522,Back To December,Speak Now (Deluxe Package),21,0.113,0.525,0.676,-4.684,141.95,0.281,34,293040
523,The Story Of Us,Speak Now (Deluxe Package),22,0.00487,0.546,0.809,-3.621,139.91,0.649,52,266480
524,Jump Then Fall,Fearless (Platinum Edition),1,0.111,0.618,0.687,-5.737,79.991,0.82,41,237066
525,Untouchable,Fearless (Platinum Edition),2,0.0583,0.419,0.454,-6.809,200.017,0.288,43,311040
526,Forever & Always - Piano Version,Fearless (Platinum Edition),3,0.852,0.592,0.16,-10.785,118.929,0.294,41,267506
527,Come In With The Rain,Fearless (Platinum Edition),4,0.0961,0.527,0.461,-6.172,143.94,0.23,39,238093
528,SuperStar,Fearless (Platinum Edition),5,0.367,0.61,0.531,-6.123,85.979,0.228,38,261453
529,The Other Side Of The Door,Fearless (Platinum Edition),6,0.169,0.476,0.816,-4.279,163.847,0.469,39,237600
530,Fearless,Fearless (Platinum Edition),7,0.0364,0.598,0.714,-4.397,99.979,0.467,50,242000
531,Fifteen,Fearless (Platinum Edition),8,0.0728,0.559,0.636,-4.4,95.485,0.214,40,294346
532,Love Story,Fearless (Platinum Edition),9,0.157,0.618,0.736,-3.937,118.982,0.307,56,235280
533,Hey Stephen,Fearless (Platinum Edition),10,0.168,0.843,0.553,-7.348,115.997,0.825,43,254320
534,White Horse,Fearless (Platinum Edition),11,0.302,0.585,0.346,-8.014,92.564,0.195,42,234440
535,You Belong With Me,Fearless (Platinum Edition),12,0.164,0.687,0.771,-4.424,129.964,0.445,57,231146
536,Breathe,Fearless (Platinum Edition),13,0.373,0.498,0.486,-7.384,147.952,0.17,38,263986
537,Tell Me Why,Fearless (Platinum Edition),14,0.0606,0.601,0.852,-3.096,100.015,0.513,40,200560
538,You're Not Sorry,Fearless (Platinum Edition),15,0.13,0.459,0.459,-4.126,134.018,0.281,42,261800
539,The Way I Loved You,Fearless (Platinum Edition),16,0.0322,0.436,0.712,-3.689,160.886,0.379,48,244240
540,Forever & Always,Fearless (Platinum Edition),17,0.0907,0.605,0.829,-4.993,128.012,0.514,43,225333
541,The Best Day,Fearless (Platinum Edition),18,0.611,0.664,0.447,-8.535,126.079,0.364,40,245346
542,Change,Fearless (Platinum Edition),19,0.00471,0.548,0.756,-4.175,96.038,0.224,40,281053
543,Fearless,Fearless (International Version),1,0.0449,0.593,0.705,-4.43,100.11,0.472,36,242373
544,Fifteen,Fearless (International Version),2,0.072,0.555,0.648,-4.419,95.431,0.207,32,294306
545,Love Story,Fearless (International Version),3,0.0186,0.62,0.639,-5.398,119.055,0.34,46,233933
546,Hey Stephen,Fearless (International Version),4,0.174,0.843,0.543,-7.364,116,0.826,30,254680
547,White Horse,Fearless (International Version),5,0.298,0.587,0.342,-8.034,92.71,0.212,33,233560
548,You Belong With Me,Fearless (International Version),6,0.151,0.688,0.775,-4.436,129.969,0.469,45,230506
549,Breathe,Fearless (International Version),7,0.389,0.488,0.472,-7.39,147.926,0.163,31,263720
550,Tell Me Why,Fearless (International Version),8,0.0611,0.606,0.848,-3.058,99.999,0.476,27,200213
551,You're Not Sorry,Fearless (International Version),9,0.145,0.471,0.458,-4.137,133.96,0.309,28,261800
552,The Way I Loved You,Fearless (International Version),10,0.0315,0.434,0.723,-3.748,160.872,0.412,31,244626
553,Forever & Always,Fearless (International Version),11,0.0788,0.604,0.816,-5.002,128,0.55,28,225000
554,The Best Day,Fearless (International Version),12,0.648,0.671,0.44,-8.561,126.059,0.368,26,245266
555,Change,Fearless (International Version),13,0.00465,0.545,0.747,-4.231,96.017,0.214,25,278546
556,Our Song - International Mix,Fearless (International Version),14,0.00739,0.516,0.696,-4.833,177.936,0.664,31,199933
557,Teardrops On My Guitar - International Mix,Fearless (International Version),15,0.0178,0.514,0.557,-6.307,99.974,0.152,34,193640
558,Should've Said No - International Mix,Fearless (International Version),16,0.00505,0.398,0.761,-4.382,168.092,0.454,29,245826
559,Love Story - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,1,0.659,0.741,0.444,-7.031,119.006,0.512,35,221028
560,Fearless - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2,0.814,0.623,0.266,-5.894,96.601,0.467,35,198247
561,Beautiful Eyes - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,3,0.596,0.627,0.704,-3.739,98.958,0.457,38,176316
562,Untouchable - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,4,0.856,0.731,0.184,-9.235,102.404,0.331,32,222959
563,Teardrops On My Guitar - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,5,0.664,0.344,0.801,-5.373,204.489,0.615,30,196346
564,Picture To Burn - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,6,0.266,0.647,0.872,-1.953,105.798,0.684,30,173899
565,Should've Said No - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,7,0.399,0.429,0.808,-3.004,171.537,0.438,30,228473
566,Change - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,8,0.156,0.243,0.712,-4.307,202.319,0.273,28,258487
567,Tim McGraw,Taylor Swift (Deluxe Edition),1,0.575,0.58,0.491,-6.462,76.009,0.425,56,232106
568,Picture To Burn,Taylor Swift (Deluxe Edition),2,0.173,0.658,0.877,-2.098,105.586,0.821,61,173066
569,Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Deluxe Edition),3,0.288,0.621,0.417,-6.941,99.953,0.289,63,203040
570,A Place in this World,Taylor Swift (Deluxe Edition),4,0.051,0.576,0.777,-2.881,115.028,0.428,55,199200
571,Cold As You,Taylor Swift (Deluxe Edition),5,0.217,0.418,0.482,-5.769,175.558,0.261,55,239013
572,The Outside,Taylor Swift (Deluxe Edition),6,0.00491,0.589,0.805,-4.055,112.982,0.591,54,207106
573,Tied Together with a Smile,Taylor Swift (Deluxe Edition),7,0.525,0.479,0.578,-4.963,146.165,0.192,54,248106
574,Stay Beautiful,Taylor Swift (Deluxe Edition),8,0.0868,0.594,0.629,-4.919,131.597,0.504,53,236053
575,Should've Said No,Taylor Swift (Deluxe Edition),9,0.0103,0.476,0.777,-3.771,167.964,0.472,60,242200
576,Mary's Song (Oh My My My),Taylor Swift (Deluxe Edition),10,0.0177,0.403,0.627,-5.28,74.9,0.374,57,213080
577,Our Song,Taylor Swift (Deluxe Edition),11,0.111,0.668,0.672,-4.931,89.011,0.539,64,201106
578,I'm Only Me When I'm With You,Taylor Swift (Deluxe Edition),12,0.00452,0.563,0.934,-3.629,143.964,0.518,56,213053
579,Invisible,Taylor Swift (Deluxe Edition),13,0.637,0.612,0.394,-5.723,96.001,0.233,54,203226
580,A Perfectly Good Heart,Taylor Swift (Deluxe Edition),14,0.00349,0.483,0.751,-5.726,156.092,0.268,53,220146
581,Teardrops on My Guitar - Pop Version,Taylor Swift (Deluxe Edition),15,0.0402,0.459,0.753,-3.827,199.997,0.483,55,179066
